                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     62,                 1.0629,                 0.6719,                 1.1891,                0.91187,                0.79159,                0.88286,                0.57398,                  1.206,                0.81566,                 1.7736,               0.003961,               0.003961,               0.003961
                     63,                 1.0778,                0.68446,                 1.1997,                0.89473,                0.80115,                0.88527,                0.57587,                 1.2047,                0.81166,                 1.7817,               0.003862,               0.003862,               0.003862
                     64,                 1.0669,                0.67586,                 1.1982,                0.88141,                0.81148,                0.88467,                0.57302,                 1.2126,                 0.8108,                  1.795,               0.003763,               0.003763,               0.003763
                     65,                 1.0722,                0.66492,                 1.1941,                0.89417,                 0.8026,                0.88287,                0.57271,                 1.2182,                0.81059,                 1.7981,               0.003664,               0.003664,               0.003664
                     66,                 1.0561,                0.66141,                  1.184,                0.88845,                0.80517,                0.88311,                0.56886,                 1.2259,                 0.8114,                 1.8069,               0.003565,               0.003565,               0.003565
                     67,                 1.0515,                0.66095,                 1.1883,                0.89671,                0.80651,                0.88453,                0.57151,                 1.2217,                0.80551,                 1.8013,               0.003466,               0.003466,               0.003466
                     68,                 1.0488,                0.65927,                 1.1858,                0.89869,                0.80669,                0.88965,                0.57463,                 1.2207,                0.80327,                 1.7982,               0.003367,               0.003367,               0.003367
                     69,                 1.0474,                0.65535,                 1.1811,                 0.8947,                0.80806,                0.88821,                0.57169,                 1.2237,                0.81022,                 1.8029,               0.003268,               0.003268,               0.003268
                     70,                  1.045,                0.65118,                 1.1794,                0.89852,                0.80328,                0.88916,                0.57128,                 1.2199,                0.80509,                 1.8009,               0.003169,               0.003169,               0.003169
                     71,                 1.0387,                0.64483,                 1.1675,                 0.8974,                0.80601,                0.88954,                0.57238,                 1.2169,                0.80222,                 1.8013,                0.00307,                0.00307,                0.00307
                     72,                 1.0501,                0.64395,                  1.176,                0.89758,                 0.8081,                0.89089,                0.57154,                 1.2185,                 0.7953,                 1.8035,               0.002971,               0.002971,               0.002971
                     73,                  1.042,                0.64749,                 1.1745,                0.90794,                0.79986,                0.88985,                0.57304,                 1.2181,                0.79894,                 1.8013,               0.002872,               0.002872,               0.002872
                     74,                 1.0287,                0.63576,                 1.1662,                0.90448,                0.80601,                0.88956,                0.57567,                 1.2144,                0.79627,                 1.7975,               0.002773,               0.002773,               0.002773
                     75,                 1.0238,                0.62805,                  1.164,                0.90507,                0.80749,                 0.8902,                0.57698,                  1.212,                0.79322,                 1.7953,               0.002674,               0.002674,               0.002674
                     76,                 1.0258,                0.62831,                 1.1675,                0.89787,                0.81284,                0.89245,                0.57697,                 1.2088,                0.79126,                 1.7918,               0.002575,               0.002575,               0.002575
                     77,                 1.0205,                  0.627,                 1.1661,                0.90507,                0.81626,                0.89329,                0.57856,                 1.2094,                0.78794,                 1.7946,               0.002476,               0.002476,               0.002476
                     78,                 1.0163,                0.62449,                 1.1604,                0.90389,                0.81489,                0.89345,                0.57771,                 1.2089,                0.78815,                 1.7936,               0.002377,               0.002377,               0.002377
                     79,                 1.0177,                0.62051,                 1.1647,                0.90336,                0.81726,                0.89294,                0.57816,                 1.2063,                0.78655,                 1.7911,               0.002278,               0.002278,               0.002278
                     80,                 1.0071,                0.61972,                 1.1556,                 0.9032,                0.81582,                0.89601,                0.57856,                 1.2061,                0.78457,                 1.7908,               0.002179,               0.002179,               0.002179
                     81,                  1.015,                0.62286,                 1.1592,                 0.9017,                0.81451,                0.89475,                0.57924,                 1.2045,                0.78495,                 1.7855,                0.00208,                0.00208,                0.00208
                     82,                 1.0024,                0.60941,                 1.1517,                0.89999,                0.82104,                0.89373,                0.57806,                 1.2058,                 0.7855,                 1.7873,               0.001981,               0.001981,               0.001981
                     83,                0.99775,                0.60429,                 1.1496,                 0.8958,                0.81967,                0.89427,                0.57683,                 1.2072,                0.78795,                 1.7902,               0.001882,               0.001882,               0.001882
                     84,                 0.9986,                0.60204,                 1.1493,                0.88817,                0.82309,                0.89393,                0.57713,                 1.2076,                0.78701,                 1.7912,               0.001783,               0.001783,               0.001783
                     85,                0.99641,                0.60317,                 1.1525,                0.89107,                0.82104,                0.89152,                0.57619,                 1.2076,                0.78631,                 1.7926,               0.001684,               0.001684,               0.001684
                     86,                0.98939,                0.59824,                 1.1414,                0.88918,                0.81899,                0.89133,                0.57644,                 1.2047,                0.78685,                 1.7905,               0.001585,               0.001585,               0.001585
                     87,                 0.9724,                0.58336,                 1.1374,                0.89375,                0.82104,                0.89281,                0.57869,                 1.2045,                0.78551,                 1.7912,               0.001486,               0.001486,               0.001486
                     88,                0.98035,                0.58253,                 1.1452,                 0.8995,                0.81694,                0.89286,                0.57921,                 1.2053,                0.78335,                 1.7933,               0.001387,               0.001387,               0.001387
                     89,                0.98145,                0.59175,                 1.1398,                0.90225,                0.81694,                0.89336,                0.57967,                  1.204,                0.78277,                 1.7929,               0.001288,               0.001288,               0.001288
                     90,                0.97911,                0.57917,                 1.1405,                0.89981,                0.81762,                0.89231,                0.57945,                 1.2043,                0.78298,                 1.7929,               0.001189,               0.001189,               0.001189
                     91,                0.90742,                0.47822,                 1.1093,                0.89909,                0.81899,                0.89248,                0.58019,                 1.2036,                 0.7825,                 1.7922,                0.00109,                0.00109,                0.00109
                     92,                0.89799,                0.47396,                 1.1063,                0.89668,                0.81967,                0.89142,                0.58006,                  1.204,                0.78409,                 1.7932,               0.000991,               0.000991,               0.000991
                     93,                0.89051,                0.46426,                 1.1006,                0.89279,                0.82036,                0.89061,                 0.5801,                 1.2038,                0.78425,                 1.7938,               0.000892,               0.000892,               0.000892
                     94,                0.89111,                0.46301,                 1.1028,                 0.8914,                0.82172,                0.88818,                0.57938,                 1.2026,                0.78386,                 1.7923,               0.000793,               0.000793,               0.000793
                     95,                0.87652,                0.45539,                 1.0905,                0.89207,                0.82172,                0.88859,                0.58036,                 1.2034,                0.78459,                 1.7944,               0.000694,               0.000694,               0.000694
                     96,                0.87329,                0.45137,                 1.0888,                0.89408,                0.81872,                0.88837,                0.58041,                  1.204,                0.78625,                  1.796,               0.000595,               0.000595,               0.000595
                     97,                0.87373,                0.44593,                 1.0916,                0.89255,                0.81762,                0.88697,                0.58067,                 1.2044,                  0.786,                 1.7978,               0.000496,               0.000496,               0.000496
                     98,                0.86435,                0.44299,                 1.0855,                0.89166,                0.81694,                0.88702,                0.58038,                 1.2041,                0.78714,                 1.7986,               0.000397,               0.000397,               0.000397
                     99,                0.86567,                0.44426,                 1.0879,                0.89273,                0.81694,                0.88857,                0.58058,                 1.2035,                0.78728,                 1.7995,               0.000298,               0.000298,               0.000298
                    100,                0.86102,                0.44191,                 1.0799,                0.88961,                0.81831,                0.88845,                0.58059,                 1.2039,                0.78879,                 1.8006,               0.000199,               0.000199,               0.000199
